Trigger,Applies To,Learning Type,Sent To,Timestamp,Priority Level,Typical Response Time,Contextual Summary,Tone,Response Likelihood,Escalation Level,Feedback,Compliance Check,Actionable Links,Comments,Send Now,Employee Number,Previous Records Present,Most Active Day
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-05 09:51:02,High,5,Summary of the pending request.,Friendly,0.6898676320996214,Level 2,Neutral,Fail,http://example.com/action,"Great reminder, very helpful!",0,9172,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-01-17 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.6796948580881589,Level 2,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,0,4462,No,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-27 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.9742253765046068,None,Neutral,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,8776,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-11 09:51:02,Medium,1,Summary of the pending request.,Friendly,0.2491982796599716,None,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",1,6622,No,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-05-03 09:51:02,High,6,Summary of the pending request.,Neutral,0.2448918538034762,None,Negative,Pass,http://example.com/action,"Okay, I will check this out.",0,2276,Yes,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-27 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.4571136166364486,None,Neutral,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,3116,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-05 09:51:02,High,1,Summary of the pending request.,Neutral,0.8444283886858833,None,Negative,Pass,http://example.com/action,"Okay, I will check this out.",1,8863,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-18 09:51:02,Low,1,Summary of the pending request.,Friendly,0.5980437977942729,Level 1,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",1,8221,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-19 09:51:02,Low,7,Summary of the pending request.,Neutral,0.0711797601534792,None,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",0,4744,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-10 09:51:02,High,1,Summary of the pending request.,Urgent,0.9429602273424524,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",1,6954,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-27 09:51:02,High,4,Summary of the pending request.,Urgent,0.2785451446669404,None,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,4086,No,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-11-26 09:51:02,Low,2,Summary of the pending request.,Urgent,0.1919320569916132,Level 2,Neutral,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,1,7016,No,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-15 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.1297712297137704,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,5146,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-05 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.381364297657629,Level 1,Negative,Fail,http://example.com/action,Important to address this as soon as possible.,1,6951,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-03-27 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.7365644717550821,Level 1,Neutral,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,7371,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-21 09:51:02,Low,5,Summary of the pending request.,Neutral,0.9662681532059472,None,Negative,Pass,http://example.com/action,"Okay, I will check this out.",0,3891,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-03 09:51:02,Medium,5,Summary of the pending request.,Friendly,0.4937952193450843,None,Negative,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,7038,Yes,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-09 09:51:02,Medium,2,Summary of the pending request.,Urgent,0.3306840968317855,Level 2,Neutral,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",1,2990,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-23 09:51:02,Low,5,Summary of the pending request.,Friendly,0.4232547589479897,Level 1,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,1793,No,Saturday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-21 09:51:02,Low,1,Summary of the pending request.,Neutral,0.8584061263801763,None,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",1,8804,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-10 09:51:02,High,1,Summary of the pending request.,Urgent,0.9429602273424524,Level 1,Neutral,Fail,http://example.com/action,"Immediate action required, cannot delay!",1,6954,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-18 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.2142368073704386,None,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",0,7949,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-09-29 09:51:02,High,1,Summary of the pending request.,Friendly,0.4345637585646443,Level 2,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,1,7738,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-10-30 09:51:02,Medium,7,Summary of the pending request.,Neutral,0.8233393995083906,None,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",0,8196,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-08 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.9229850357343844,None,Positive,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",1,5033,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-21 09:51:02,Low,1,Summary of the pending request.,Neutral,0.8584061263801763,None,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",1,8804,Yes,Monday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-07-02 09:51:02,Low,6,Summary of the pending request.,Neutral,0.133409589859364,Level 1,Negative,Fail,http://example.com/action,"Okay, I will check this out.",0,1345,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-01 09:51:02,Low,5,Summary of the pending request.,Neutral,0.950039608443156,Level 1,Negative,Fail,http://example.com/action,"Okay, I will check this out.",0,7767,Yes,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-09 09:51:02,Low,2,Summary of the pending request.,Urgent,0.2477437235982842,Level 1,Neutral,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,5612,No,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-16 09:51:02,High,4,Summary of the pending request.,Friendly,0.3393026053949631,None,Positive,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,2906,No,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-12 09:51:02,Medium,2,Summary of the pending request.,Urgent,0.2408715924472331,Level 2,Positive,Pass,http://example.com/action,Important to address this as soon as possible.,1,6870,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-06 09:51:02,Medium,2,Summary of the pending request.,Neutral,0.3268458048813085,Level 1,Neutral,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,1005,Yes,Sunday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-16 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.3408959817693328,Level 1,Neutral,Fail,http://example.com/action,"Reminder received, will look into it.",0,2202,No,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-29 09:51:02,High,3,Summary of the pending request.,Friendly,0.4418405526596308,Level 2,Positive,Fail,http://example.com/action,"Great reminder, very helpful!",1,1966,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-03-04 09:51:02,Low,1,Summary of the pending request.,Friendly,0.0819834054948754,Level 2,Negative,Fail,http://example.com/action,"Great reminder, very helpful!",1,2296,Yes,Thursday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-14 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.3407059325602923,None,Neutral,Fail,http://example.com/action,"Noted, will review the details soon.",0,7233,No,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-04 09:51:02,Low,4,Summary of the pending request.,Friendly,0.9402918917795542,None,Negative,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,8546,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-24 09:51:02,High,4,Summary of the pending request.,Friendly,0.6546079661210219,Level 2,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,6490,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-11-14 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.4931239422107847,None,Positive,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,4300,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-05 09:51:02,Low,5,Summary of the pending request.,Friendly,0.4175780735551736,None,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,1768,No,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-26 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.2289244157218269,Level 2,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,3219,Yes,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-30 09:51:02,Medium,5,Summary of the pending request.,Neutral,0.6434932633613195,Level 1,Positive,Pass,http://example.com/action,"Reminder received, will look into it.",0,7371,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-04-06 09:51:02,Low,2,Summary of the pending request.,Neutral,0.7976855210314036,Level 2,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",1,8970,Yes,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-03-26 09:51:02,Medium,5,Summary of the pending request.,Urgent,0.7114009771190007,Level 2,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,4756,Yes,Wednesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-16 09:51:02,Low,3,Summary of the pending request.,Urgent,0.9172447067809756,None,Positive,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6588,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-11-01 09:51:02,High,5,Summary of the pending request.,Neutral,0.321211428214594,None,Neutral,Fail,http://example.com/action,"Okay, I will check this out.",0,1827,No,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-25 09:51:02,Medium,7,Summary of the pending request.,Friendly,0.2671726630669048,None,Neutral,Fail,http://example.com/action,Appreciate the clarity in this reminder.,0,4490,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-16 09:51:02,Low,3,Summary of the pending request.,Urgent,0.9172447067809756,None,Positive,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6588,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-04-26 09:51:02,High,6,Summary of the pending request.,Urgent,0.0458243836556622,None,Neutral,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,9717,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-24 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.331149868214407,None,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,7891,No,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-06-07 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.2421965601412244,Level 2,Negative,Pass,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,8970,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-10 09:51:02,High,5,Summary of the pending request.,Neutral,0.6939806410407938,Level 1,Positive,Pass,http://example.com/action,"Received the reminder, action pending.",0,4177,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-26 09:51:02,Medium,1,Summary of the pending request.,Urgent,0.9371597632022476,Level 2,Positive,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,1,9477,Yes,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-29 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.565856627951035,None,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",0,5873,Yes,Thursday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-04-20 09:51:02,Low,7,Summary of the pending request.,Friendly,0.9184934943957024,Level 2,Neutral,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,7506,No,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-18 09:51:02,Low,1,Summary of the pending request.,Urgent,0.9985867550893268,Level 1,Neutral,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",1,5670,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-17 09:51:02,High,2,Summary of the pending request.,Urgent,0.9462615328819464,Level 1,Neutral,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,8577,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-09 09:51:02,Low,7,Summary of the pending request.,Neutral,0.8680921488690649,Level 2,Positive,Fail,http://example.com/action,"Reminder received, will look into it.",0,4687,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-12 09:51:02,High,7,Summary of the pending request.,Neutral,0.1022102765198487,Level 1,Positive,Fail,http://example.com/action,"Noted, will review the details soon.",0,1638,No,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-11 09:51:02,High,2,Summary of the pending request.,Friendly,0.4752823780987313,Level 2,Positive,Fail,http://example.com/action,"Always good to get these reminders, thank you!",1,2531,No,Saturday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-18 09:51:02,Medium,6,Summary of the pending request.,Friendly,0.237530201446925,Level 1,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",0,4719,Yes,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-11-17 09:51:02,High,2,Summary of the pending request.,Urgent,0.3830352924313381,None,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,4735,No,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-08-30 09:51:02,Medium,6,Summary of the pending request.,Neutral,0.7638567641619896,Level 1,Positive,Fail,http://example.com/action,"Okay, I will check this out.",0,7514,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-06-21 09:51:02,Medium,4,Summary of the pending request.,Urgent,0.4129601097889264,None,Neutral,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,9766,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-02 09:51:02,High,4,Summary of the pending request.,Friendly,0.37396148767902,Level 1,Positive,Fail,http://example.com/action,"Helpful reminder, keeps everything on track!",0,1094,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-12-27 09:51:02,Low,2,Summary of the pending request.,Neutral,0.2194216346214361,Level 1,Neutral,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",1,2063,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-12 09:51:02,Medium,3,Summary of the pending request.,Friendly,0.718717425222983,Level 1,Negative,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,4530,No,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-06-30 09:51:02,High,5,Summary of the pending request.,Neutral,0.6770349658766818,Level 2,Neutral,Fail,http://example.com/action,"Received the reminder, action pending.",0,4451,No,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-09-05 09:51:02,Low,5,Summary of the pending request.,Urgent,0.1286633906892151,None,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,0,3708,Yes,Wednesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-09-30 09:51:02,Low,3,Summary of the pending request.,Urgent,0.0501423372639535,Level 1,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,2062,Yes,Friday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-06-03 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.3650155373952375,Level 2,Positive,Pass,http://example.com/action,"Okay, I will check this out.",1,4054,Yes,Sunday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-12 09:51:02,Low,6,Summary of the pending request.,Neutral,0.0536964319473936,Level 1,Positive,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,1054,Yes,Friday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-10-14 09:51:02,Low,5,Summary of the pending request.,Urgent,0.9689962572847513,None,Positive,Fail,http://example.com/action,"This is an urgent matter, please address it immediately.",0,9152,No,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-24 09:51:02,Low,6,Summary of the pending request.,Friendly,0.0714025095785483,Level 2,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,3125,Yes,Sunday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-20 09:51:02,Medium,1,Summary of the pending request.,Neutral,0.864910584051879,None,Negative,Fail,http://example.com/action,"Acknowledged, will take the necessary steps.",1,2619,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-17 09:51:02,High,7,Summary of the pending request.,Neutral,0.0997116977419784,Level 1,Positive,Pass,http://example.com/action,"Noted, will review the details soon.",0,2908,No,Tuesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-13 09:51:02,Low,3,Summary of the pending request.,Friendly,0.3542869886448128,Level 2,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,2625,Yes,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-04-23 09:51:02,Low,3,Summary of the pending request.,Friendly,0.9774793482325116,None,Negative,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,5926,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-02-20 09:51:02,Medium,1,Summary of the pending request.,Friendly,0.865067397697266,Level 2,Positive,Fail,http://example.com/action,"Thanks for the prompt update, it's much appreciated.",1,6468,No,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-10-24 09:51:02,Low,7,Summary of the pending request.,Neutral,0.6197103685374153,None,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",0,3560,No,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-07-17 09:51:02,Medium,3,Summary of the pending request.,Urgent,0.2109828435863264,Level 2,Negative,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,7809,Yes,Monday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-02 09:51:02,Low,4,Summary of the pending request.,Friendly,0.6401416690475789,Level 1,Positive,Fail,http://example.com/action,"Great reminder, very helpful!",0,9669,Yes,Wednesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-06 09:51:02,Low,1,Summary of the pending request.,Urgent,0.2679720308946144,Level 1,Negative,Pass,http://example.com/action,Please prioritize this as it's extremely urgent.,1,1832,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-20 09:51:02,Low,6,Summary of the pending request.,Urgent,0.5234845576782113,Level 1,Positive,Pass,http://example.com/action,Important to address this as soon as possible.,0,7166,Yes,Wednesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-27 09:51:02,High,4,Summary of the pending request.,Friendly,0.0423022615627913,None,Neutral,Pass,http://example.com/action,"Great reminder, very helpful!",0,6408,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-05-25 09:51:02,Low,4,Summary of the pending request.,Urgent,0.1622472120884505,Level 2,Negative,Pass,http://example.com/action,Important to address this as soon as possible.,0,4228,No,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-20 09:51:02,High,1,Summary of the pending request.,Urgent,0.6589827495146631,Level 1,Neutral,Fail,http://example.com/action,Important to address this as soon as possible.,1,7882,Yes,Monday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-11-08 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.9229850357343844,None,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,5033,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-07 09:51:02,High,4,Summary of the pending request.,Neutral,0.3385612340514317,Level 2,Neutral,Pass,http://example.com/action,"Received the reminder, action pending.",0,9567,Yes,Tuesday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-09-18 09:51:02,High,6,Summary of the pending request.,Neutral,0.8502932390887963,Level 2,Positive,Pass,http://example.com/action,"Noted, will review the details soon.",0,9837,Yes,Monday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-17 09:51:02,Low,2,Summary of the pending request.,Neutral,0.3102317375518121,Level 2,Negative,Fail,http://example.com/action,"Received the reminder, action pending.",1,8326,No,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-10-19 09:51:02,High,4,Summary of the pending request.,Urgent,0.4549786727706703,Level 2,Neutral,Fail,http://example.com/action,Please prioritize this as it's extremely urgent.,0,5757,Yes,Friday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2023-07-07 09:51:02,High,4,Summary of the pending request.,Neutral,0.3385612340514317,Level 2,Neutral,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,9567,Yes,Sunday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-05-10 09:51:02,High,5,Summary of the pending request.,Neutral,0.6939806410407938,Level 1,Positive,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,4177,Yes,Thursday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-16 09:51:02,Medium,1,Summary of the pending request.,Neutral,0.5741000043314627,Level 1,Negative,Pass,http://example.com/action,"Reminder received, will look into it.",1,2970,No,Tuesday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-19 09:51:02,High,7,Summary of the pending request.,Friendly,0.6499606842941816,None,Positive,Pass,http://example.com/action,"Helpful reminder, keeps everything on track!",0,3674,Yes,Wednesday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2024-01-01 09:51:02,Low,1,Summary of the pending request.,Urgent,0.2044231243537317,None,Positive,Fail,http://example.com/action,"Urgency appreciated, let's act quickly on this.",1,6742,No,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-07 09:51:02,Medium,4,Summary of the pending request.,Neutral,0.037607245571092,Level 1,Neutral,Pass,http://example.com/action,"Okay, I will check this out.",0,6373,Yes,Saturday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-08-07 09:51:02,Low,4,Summary of the pending request.,Urgent,0.6897648084454863,Level 1,Neutral,Pass,http://example.com/action,Important to address this as soon as possible.,0,4531,No,Thursday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2023-08-28 09:51:02,Low,3,Summary of the pending request.,Friendly,0.9440896147957406,Level 2,Neutral,Pass,http://example.com/action,Appreciate the clarity in this reminder.,1,3048,Yes,Saturday
90 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-12-09 09:51:02,Medium,4,Summary of the pending request.,Friendly,0.0323853239796669,None,Negative,Fail,http://example.com/action,"Always good to get these reminders, thank you!",0,4876,No,Sunday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-05-21 09:51:02,Low,5,Summary of the pending request.,Urgent,0.2424580384102868,Level 2,Negative,Pass,http://example.com/action,"Urgency appreciated, let's act quickly on this.",0,9609,No,Thursday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-30 09:51:02,Medium,4,Summary of the pending request.,Friendly,0.5924746190637017,Level 1,Positive,Pass,http://example.com/action,"Always good to get these reminders, thank you!",0,6560,No,Tuesday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-01-22 09:51:02,Medium,3,Summary of the pending request.,Friendly,0.0637599121120832,None,Positive,Fail,http://example.com/action,"Great reminder, very helpful!",1,1688,Yes,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-08-16 09:51:02,High,3,Summary of the pending request.,Neutral,0.6738063924730165,Level 1,Negative,Fail,http://example.com/action,"Okay, I will check this out.",1,7456,Yes,Saturday
Auto-assign course(s) into plan,Both,Instructor-led,Colleague,2024-01-17 09:51:02,Medium,7,Summary of the pending request.,Neutral,0.0333645312456324,Level 1,Negative,Pass,http://example.com/action,"Acknowledged, will take the necessary steps.",0,7413,Yes,Tuesday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2023-07-31 09:51:02,Medium,2,Summary of the pending request.,Friendly,0.1901319892770883,Level 1,Negative,Pass,http://example.com/action,"Always good to get these reminders, thank you!",1,9007,No,Friday
60 days prior to Due Date if not enrolled on an active offering,First Time,Instructor-led,Colleague,2023-10-24 09:51:02,High,4,Summary of the pending request.,Urgent,0.5132478432016415,Level 1,Negative,Pass,http://example.com/action,"This is an urgent matter, please address it immediately.",0,5944,No,Friday
30 days prior to Due Date if not enrolled on an active offering,Both,Instructor-led,Colleague,2024-03-02 09:51:02,Low,1,Summary of the pending request.,Urgent,0.1881632939327553,Level 2,Negative,Pass,http://example.com/action,"Immediate action required, cannot delay!",1,5524,Yes,Monday
Assignment of a course for Reassignment,Reassignment,Both,Colleague,2024-01-08 09:51:02,Medium,3,Summary of the pending request.,Neutral,0.3987301842569533,Level 2,Positive,Fail,http://example.com/action,"Received the reminder, action pending.",1,2248,Yes,Thursday
